Grade
109
75
104
59
95
81
70
86

104
92
89

98
91
78
96
109
106
106
94
79
77
101
32

71
47

95
65
80
68
82
86
90
91
100
99
82
70
79
96
98
94
32
106
98
99
100
98
87
61
77
98
17
71
58
